20110201;1;1;8.5;116;800;1;217;1.2;2;1;16;1;8;1080;2;1650;40
20110401;1;1;8.5;116;960;1;256;1.2;2;1;16;1;8;1080;2;1650;40
20111001;1;1;8.5;116;1280;1;316;1.2;2;1;16;1;8;1080;2;1750;40
20120501;1;1;8.5;133;1280;1;316;1.4;4;1;32;1;8;1080;2;2100;50
20120801;1;1;8.5;133;1280;1;316;1.5;4;2;32;1;13;1080;2;2100;50
20120801;1;1;8.5;133;1280;1;316;1.6;4;2;32;1;13;1080;2;3100;69
20120901;1;1;8.5;133;1280;1;316;1.6;4;2;32;1;13;1080;2;3300;69
20121001;1;1;8.5;133;1280;1;316;1.7;4;2;32;1;13;1080;2;3300;69
20121001;1;1;8.5;133;1280;1;316;1.7;4;2;32;1;13;1080;2;3300;69
20121201;1;1;8.5;133;1920;1;441;1.7;4;2;32;1;13;1080;2;3300;69
20130101;1;1;7.9;133;1920;1;441;1.7;4;2;32;1;13;1080;2.2;3300;69
20130201;1;1;7.9;133;1920;1;469;1.7;4;2;32;1;13;1080;2.2;3300;69
20130301;1;1;7.9;130;1920;1;469;1.9;4;2;32;1;13;1080;2.2;3300;69
20130801;1;1;7.9;130;1920;1;469;2.26;4;2;32;1;13;1080;2.2;3300;81
20130801;1;1;7.9;130;1920;1;469;2.26;4;2;32;1;13;1080;2.2;3300;81
20130901;1;1;7.9;130;1920;1;469;2.3;4;3;32;1;13;2160;2.2;3200;81
20130901;1;1;7.9;130;1920;1;469;2.3;4;3;32;1;20.7;2160;2.2;3200;81
20131001;1;1;7.9;130;1920;1;469;2.3;4;3;32;1;20.7;2160;2.2;3200;81
20140201;1;1;7.9;130;1920;1;469;2.5;4;3;32;1;20.7;2160;2.2;3200;81
20140201;1;1;8.1;130;1920;1;469;2.5;4;3;32;1;20.7;2160;2.2;3200;81
20140301;1;1;8.1;130;2560;1;534;2.5;4;3;32;1;20.7;2160;5;3200;81
20140401;1;1;8.1;130;2560;1;534;2.5;4;3;64;1;20.7;2160;5;3200;81
20140501;1;1;8.1;130;2560;1;534;2.5;4;3;64;1;20.7;2160;5;3200;81
20140701;1;1;8.1;130;2560;1;534;2.5;4;3;64;1;20.7;2160;8;3200;81
20140901;1;1;8.1;130;2560;1;534;2.7;4;3;64;1;20.7;2160;8;3220;75
20140901;1;1;7.3;130;2560;1;534;2.7;4;3;64;1;20.7;2160;8;3220;75
